👉公        告,#genre#
CCTV-1HD,http://111.40.196.37:443/PLTV/88888888/224/3221225548/1.m3u8
CCTV-1HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226010/1.m3u8
CCTV-1HD,http://111.40.196.29:443/PLTV/88888888/224/3221225769/1.m3u8
CCTV-1HD,http://111.40.196.37:443/PLTV/88888888/224/3221225769/1.m3u8
CCTV-1HD,http://111.40.196.30:443/PLTV/88888888/224/3221225548/1.m3u8
CCTV-1HD,http://111.40.196.38:443/PLTV/88888888/224/3221225548/1.m3u8
CCTV-1HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001331/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-1HD,http://111.40.196.30:443/PLTV/88888888/224/3221225769/1.m3u8
CCTV-1HD,http://111.40.196.31:443/PLTV/88888888/224/3221225548/1.m3u8
CCTV-1HD,http://111.40.196.38:443/PLTV/88888888/224/3221225769/1.m3u8
CCTV-1HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1HD,http://111.40.196.39:443/PLTV/88888888/224/3221225548/1.m3u8
CCTV-2HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226739/1.m3u8
CCTV-2HD,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-2HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV-2HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001332/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-2HD,http://111.40.196.35:443/PLTV/88888888/224/3221225488/1.m3u8
CCTV-2HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CCTV-2HD,http://122.97.219.244:8098/live/CCTV2/1.m3u8
CCTV-2HD,https://iptv.luas.edu.cn/liverespath/6b13fe5368d391761312a985ace065c0ecad2f5e/2ba3abc029-0-0-6a222dcc081b4fb580872b33926ae6bb/index.m3u8
CCTV-3HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226720/1.m3u8
CCTV-3HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226040/1/index.m3u8?fmt=ts2hls
CCTV-3HD,http://111.40.196.37:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-3HD,http://111.20.40.160/PLTV/88888893/224/3221226397/1.m3u8
CCTV-3HD,http://111.40.196.30:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-3HD,http://111.40.196.38:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-3HD,http://111.40.196.31:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-3HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-3HD,http://111.40.196.39:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-3HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-3HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226263/1/index.m3u8?fmt=ts2hls
CCTV-3HD,http://111.40.196.32:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-3HD,http://111.40.196.34:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-3HD,http://111.40.196.25:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-3HD,http://111.40.196.27:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-3HD,http://111.40.196.35:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-3HD,http://111.40.196.36:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-4HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226725/1.m3u8
CCTV-4HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-4HD,http://111.40.196.30:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://111.40.196.38:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001333/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-4HD,http://111.40.196.31:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://111.40.196.39:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://111.40.196.32:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://111.40.196.34:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://111.40.196.25:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://111.40.196.35:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://111.40.196.27:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://111.40.196.28:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://111.40.196.36:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://111.40.196.29:443/PLTV/88888888/224/3221225490/1.m3u8
CCTV-4HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls
CCTV-5HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226731/1.m3u8
CCTV-5HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226043/1/index.m3u8?fmt=ts2hls
CCTV-5HD,http://111.40.196.29:443/PLTV/88888888/224/3221225668/1.m3u8
CCTV-5HD,http://111.20.40.160/PLTV/88888893/224/3221226395/1.m3u8
CCTV-5HD,http://111.40.196.38:443/PLTV/88888888/224/3221225559/1.m3u8
CCTV-5HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225837/1.m3u8
CCTV-5HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226248/1/index.m3u8?fmt=ts2hls
CCTV-5HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226259/1/index.m3u8?fmt=ts2hls
CCTV-5HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5HD,http://111.40.196.32:443/PLTV/88888888/224/3221225550/1.m3u8
CCTV-5HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-5HD,http://111.40.196.35:443/PLTV/88888888/224/3221225668/1.m3u8
CCTV-5HD,http://111.40.196.36:443/PLTV/88888888/224/3221225559/1.m3u8
CCTV-5HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226024/1/index.m3u8?fmt=ts2hls
CCTV-6HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226699/1.m3u8
CCTV-6HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226046/1/index.m3u8?fmt=ts2hls
CCTV-6HD,http://111.20.40.160/PLTV/88888893/224/3221226393/1.m3u8
CCTV-6HD,http://111.40.196.31:443/PLTV/88888888/224/3221225561/1.m3u8
CCTV-6HD,http://111.40.196.31:443/PLTV/88888888/224/3221225590/1.m3u8
CCTV-6HD,http://111.40.196.39:443/PLTV/88888888/224/3221225561/1.m3u8
CCTV-6HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226250/1/index.m3u8?fmt=ts2hls
CCTV-6HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV-6HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-6HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226011/1/index.m3u8?fmt=ts2hls
CCTV-6HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-6HD,https://iptv.luas.edu.cn/liverespath/f2f39ee2105c85c32df375728a51b5d89d3afab4/32bd27f075-0-0-8793545eca40359557597292a8d52740/index.m3u8
CCTV-7HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226721/1.m3u8
CCTV-7HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-7HD,http://111.40.196.30:443/PLTV/88888888/224/3221225492/1.m3u8
CCTV-7HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV-7HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225745/1/index.m3u8?fmt=ts2hls
CCTV-7HD,http://122.97.219.244:8098/live/CCTV7/1.m3u8
CCTV-7HD,https://iptv.luas.edu.cn/liverespath/f116a0a5035935a3435155998163d8eaa60554c3/398f378d8f-0-0-01f476321380d4bb54a7bc3c37433c92/index.m3u8
CCTV-8HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226715/1.m3u8
CCTV-8HD,http://111.40.196.37:443/PLTV/88888888/224/3221225592/1.m3u8
CCTV-8HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV-8HD,http://111.20.40.160/PLTV/88888893/224/3221226391/1.m3u8
CCTV-8HD,http://111.40.196.30:443/PLTV/88888888/224/3221225592/1.m3u8
CCTV-8HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-8HD,http://111.40.196.38:443/PLTV/88888888/224/3221225592/1.m3u8
CCTV-8HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV-8HD,http://111.40.196.31:443/PLTV/88888888/224/3221225592/1.m3u8
CCTV-8HD,http://111.40.196.39:443/PLTV/88888888/224/3221225592/1.m3u8
CCTV-8HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226244/1/index.m3u8?fmt=ts2hls
CCTV-8HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-8HD,http://111.40.196.32:443/PLTV/88888888/224/3221225592/1.m3u8
CCTV-8HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001869/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-8HD,http://111.40.196.34:443/PLTV/88888888/224/3221225565/1.m3u8
CCTV-8HD,http://111.40.196.34:443/PLTV/88888888/224/3221225592/1.m3u8
CCTV-8HD,http://111.40.196.25:443/PLTV/88888888/224/3221225565/1.m3u8
CCTV-9HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226651/1.m3u8
CCTV-9HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226657/1.m3u8
CCTV-9HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001294/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-9HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-9HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-9HD,http://111.40.196.34:443/PLTV/88888888/224/3221225502/1.m3u8
CCTV-9HD,http://111.40.196.35:443/PLTV/88888888/224/3221225502/1.m3u8
CCTV-9HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226031/1/index.m3u8?fmt=ts2hls
CCTV-9HD,https://iptv.luas.edu.cn/liverespath/0d0f0da65ba843b8d1dd6fed315bfea896ddd20d/3fff683804-0-0-6ce6cd465acf07489402f7dcf821c7d1/index.m3u8
CCTV-10HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226708/1.m3u8
CCTV-10HD,http://111.40.196.37:443/PLTV/88888888/224/3221225567/1.m3u8
CCTV-10HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV-10HD,http://111.40.196.32:443/PLTV/88888888/224/3221225494/1.m3u8
CCTV-10HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225685/1/index.m3u8?fmt=ts2hls
CCTV-10HD,http://111.40.196.28:443/PLTV/88888888/224/3221225494/1.m3u8
CCTV-10HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001288/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-11HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226714/1.m3u8
CCTV-11HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001327/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-11HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225746/1/index.m3u8?fmt=ts2hls
CCTV-11HD,http://111.40.196.29:443/PLTV/88888888/224/3221225496/1.m3u8
CCTV-12HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226723/1.m3u8
CCTV-12HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226748/1.m3u8
CCTV-12HD,http://111.40.196.39:443/PLTV/88888888/224/3221225498/1.m3u8
CCTV-12HD,http://111.40.196.25:443/PLTV/88888888/224/3221225498/1.m3u8
CCTV-12HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225747/1/index.m3u8?fmt=ts2hls
CCTV-12HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001289/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-12HD,https://iptv.luas.edu.cn/liverespath/fb84bde1de15cdb0308a7910cebc0497594ae94e/c8cee114e3-0-0-47ba146ef3061e5ad7e0f5c5a4781403/index.m3u8
CCTV-13HD,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226717/1.m3u8
CCTV-13HD,http://wshls.live.migucloud.com/live/3S6PAWLT_C0/playlist.m3u8
CCTV-13HD,http://111.40.196.30:443/PLTV/88888888/224/3221225504/1.m3u8
CCTV-13HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV-13HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001328/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-13HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV-13HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225748/1/index.m3u8?fmt=ts2hls
CCTV-13HD,http://122.97.219.244:8098/live/CCTV13/1.m3u8
CCTV-13HD,http://live.ldntv.cn/cctv13/playlist.m3u8
CCTV-13HD,https://qsxw.gov.cn/rtmp_export/video44.m3u8
CCTV-14HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226645/1.m3u8
CCTV-14HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226663/1.m3u8
CCTV-14HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001292/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-14HD,http://111.40.196.30:443/PLTV/88888888/224/3221225573/1.m3u8
CCTV-14HD,http://111.40.196.38:443/PLTV/88888888/224/3221225573/1.m3u8
CCTV-14HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV-14HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225727/1/index.m3u8?fmt=ts2hls
CCTV-14HD,http://111.40.196.29:443/PLTV/88888888/224/3221225506/1.m3u8
CCTV-14HD,https://iptv.luas.edu.cn/liverespath/0e0973e58d4835f4b872548164462930003f77b4/d984ebd30b-0-0-7e351ea86796d840d1eeee823117f65e/index.m3u8
CCTV-15HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-15HD,http://111.40.196.31:443/PLTV/88888888/224/3221225500/1.m3u8
CCTV-15HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001020/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-15HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225749/1/index.m3u8?fmt=ts2hls
CCTV-15HD,http://111.40.196.37:443/PLTV/88888888/224/3221225500/1.m3u8
CCTV-16HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226825/1.m3u8
CCTV-16HD,http://111.20.40.160/PLTV/88888893/224/3221226921/1.m3u8
CCTV-16HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV-16HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV-16HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226283/1/index.m3u8?fmt=ts2hls
CCTV-16HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226302/1/index.m3u8?fmt=ts2hls
CCTV-16HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000002395/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-17HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226727/1.m3u8
CCTV-17HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226660/1.m3u8
CCTV-17HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001295/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-17HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226027/1/index.m3u8?fmt=ts2hls
CCTV-5+HD,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226711/1.m3u8
CCTV-5+HD,http://220.178.228.153:1935/live/cctv5/playlist.m3u8
CCTV-5+HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-5+HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226128/1/index.m3u8?fmt=ts2hls
CCTV-5+HD,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-5+HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226171/1/index.m3u8?fmt=ts2hls
CCTV-5+HD,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226285/1/index.m3u8?fmt=ts2hls
CCTV-5+HD,http://111.40.196.25:443/PLTV/88888888/224/3221225767/1.m3u8
CCTV-5+HD,http://111.20.35.103:6610/yinhe/2/ch00000090990000001008/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-5+HD,http://111.40.196.35:443/PLTV/88888888/224/3221225767/1.m3u8
CCTV-5+HD,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-4中文国际欧洲,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226266/1/index.m3u8?fmt=ts2hls
CCTV-4中文国际欧洲,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226268/1/index.m3u8?fmt=ts2hls
CCTV-4中文国际美洲,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226269/1/index.m3u8?fmt=ts2hls
CCTV-4中文国际美洲,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226300/1/index.m3u8?fmt=ts2hls
CCTV-4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-怀旧剧场,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226097/1/index.m3u8?fmt=ts2hls
CCTV-怀旧剧场,http://111.20.40.160/PLTV/88888893/224/3221226972/1.m3u8
CCTV-怀旧剧场,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
CCTV-第一剧场,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226124/1/index.m3u8?fmt=ts2hls
CCTV-第一剧场,http://111.20.40.160/PLTV/88888893/224/3221226959/1.m3u8
CCTV-第一剧场,http://111.20.35.103:6610/yinhe/2/ch00000090990000002498/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-第一剧场,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225702/1/index.m3u8?fmt=ts2hls
CCTV-风云剧场,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226107/1/index.m3u8?fmt=ts2hls
CCTV-风云剧场,http://111.20.40.160/PLTV/88888893/224/3221226950/1.m3u8
CCTV-风云剧场,http://111.20.35.103:6610/yinhe/2/ch00000090990000002505/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-风云剧场,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
CCTV-风云音乐,http://39.136.18.69/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226083/1/index.m3u8?fmt=ts2hls
CCTV-风云音乐,http://111.20.40.160/PLTV/88888893/224/3221226953/1.m3u8
CCTV-风云音乐,http://111.20.35.103:6610/yinhe/2/ch00000090990000002525/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
